Company,Mean_NZTDCI,Min_NZTDCI,Max_NZTDCI,Mean_ROA_pct,Mean_ROE_pct
DELTA,82.5,70,90,17.981701911719565,28.965247865758577
PTT,72.5,60,80,2.8414241793579795,8.753541834545551
CPALL,70.0,50,90,2.266277422757897,18.253866131685367
KBANK,70.0,60,80,1.0288010425717218,8.280327504102921
SCBX,70.0,70,70,1.2429631019249325,9.083297829482675
BCP,67.5,50,80,2.951293841079894,12.285077903587446
BDMS,62.5,60,70,10.117804000071859,15.04330308959192
PTTEP,60.0,50,70,8.004163654318383,14.650723670919312
SCC,60.0,40,80,1.9234613038688657,4.661486957364095
CPN,57.5,30,80,5.350767589205953,16.62814121855872
GPSC,52.5,40,70,1.3341686502555048,3.5446239240163733
GULF,50.0,30,60,5.4563452011374745,16.27635758592285
ADVANC,40.0,30,50,8.504328746800413,37.07281843986303
BBL,37.5,30,50,0.9008611574082688,7.603723207931381
AOT,20.0,10,30,4.260648799132706,7.119483649004806
