Sector,N,Mean_NZTDCI,Median_NZTDCI,Mean_ROA_pct,Mean_ROE_pct
Electronics,4,82.5,85.0,17.981701911719565,28.965247865758577
Financial Services,4,70.0,70.0,1.2429631019249325,9.083297829482675
Retail,4,70.0,70.0,2.266277422757897,18.253866131685367
Healthcare,4,62.5,60.0,10.117804000071859,15.04330308959192
Energy,20,60.5,60.0,4.117479105229847,11.102064983798305
Materials,4,60.0,60.0,1.9234613038688657,4.661486957364095
Property,4,57.5,60.0,5.350767589205953,16.62814121855872
Banking,8,53.75,55.0,0.9648310999899954,7.942025356017151
Telecom,4,40.0,40.0,8.504328746800413,37.07281843986303
Transport,4,20.0,20.0,4.260648799132706,7.119483649004806
